D,H,V
22.8,7.5,0.220956
8.4,7.5,0.026737
8.0,8.0,0.031810
9.2,8.4,0.039317
6.1,9.8,0.019619
6.5,8.8,0.020891
6.7,8.9,0.020777
7.0,9.3,0.023687
9.4,8.3,0.042352
10.1,9.5,0.059439
9.3,8.3,0.039937
9.6,11.2,0.060325
9.9,10.1,0.057753
8.4,10.1,0.038278
7.0,10.1,0.027247
8.4,11.9,0.042145
8.4,11.1,0.039919
7.5,10.5,0.033152
8.0,10.0,0.036878
10.5,11.8,0.057037
10.2,10.3,0.062121
9.0,11.5,0.044907
9.5,10.1,0.058806
9.4,10.7,0.051986
10.3,10.7,0.053197
12.3,13.1,0.091095
9.6,12.5,0.065331
9.0,12.1,0.055572
10.9,13.0,0.074688
10.3,12.9,0.063222
10.9,13.1,0.073822
12.0,13.2,0.098678
12.5,12.5,0.098153
13.4,13.7,0.126370
11.4,12.6,0.086571
8.0,12.5,0.039875
11.3,13.9,0.042348
10.6,13.8,0.074459
11.9,13.6,0.091640
10.1,12.2,0.066365
9.6,12.0,0.061368
10.0,12.0,0.079811
22.5,13.8,0.318128
9.7,13.1,0.064064
9.6,12.5,0.061736
10.2,12.4,0.064224
9.0,12.7,0.053966
21.0,14.9,0.292088
11.4,15.0,0.094607
10.7,15.4,0.070937
11.1,14.3,0.085012
14.5,14.1,0.156371
12.5,14.8,0.110401
12.6,14.8,0.124695
10.5,14.1,0.082588
12.7,14.8,0.117747
14.3,15.5,0.153853
13.2,15.2,0.136796
15.5,15.7,0.192984
13.4,14.2,0.134095
19.6,15.5,0.289228
20.7,16.2,0.347398
12.5,16.9,0.123005
13.5,17.4,0.118217
14.8,17.5,0.157119
12.8,17.5,0.127775
14.0,16.9,0.152931
14.7,17.1,0.172218
11.7,16.5,0.106407
17.1,16.3,0.250933
16.7,16.5,0.217334
16.8,17.2,0.218349
14.2,16.3,0.168323
14.8,17.6,0.180965
10.4,16.5,0.083559
12.5,17.9,0.132999
12.8,16.1,0.131744
12.9,17.3,0.144604
16.2,17.3,0.209951
13.4,16.5,0.153762
16.4,17.4,0.217471
12.5,16.5,0.125742
13.8,17.4,0.158971
12.0,16.8,0.118024
14.7,16.3,0.171409
22.6,17.1,0.384309
21.0,17.2,0.345038
21.8,16.7,0.392821
23.0,17.4,0.371851
21.6,17.4,0.379906
22.0,17.6,0.411063
17.4,18.8,0.276910
15.2,19.4,0.190567
16.6,19.6,0.250354
17.1,18.3,0.212306
17.7,18.4,0.295745
18.2,18.1,0.284987
18.2,18.4,0.220136
14.1,19.7,0.166159
16.3,19.6,0.244923
12.3,19.0,0.123754
15.5,19.5,0.180900
17.0,19.3,0.278307
18.2,18.4,0.241566
17.0,19.2,0.257713
15.5,19.7,0.214924
15.1,18.6,0.185111
15.1,18.7,0.185504
16.2,18.7,0.191859
16.5,19.4,0.260344
15.0,18.1,0.193013
15.1,19.1,0.224031
14.3,18.1,0.202835
16.8,19.5,0.255563
16.5,19.4,0.260514
15.8,19.2,0.222618
13.3,19.3,0.163045
21.0,19.7,0.381530
22.0,18.7,0.354279
20.8,19.5,0.329970
20.6,18.8,0.336895
20.3,20.5,0.371450
19.5,20.1,0.362214
19.3,21.2,0.340118
20.3,21.7,0.400336
18.7,20.3,0.315122
17.5,21.7,0.303700
18.6,20.3,0.316524
17.2,20.5,0.282318
16.3,20.6,0.236102
19.3,20.3,0.319741
20.0,21.1,0.367294
18.4,21.7,0.307889
18.7,20.0,0.294642
18.8,20.0,0.333808
13.4,20.6,0.154342
17.5,21.6,0.307577
15.4,20.2,0.213923
16.8,20.4,0.266962
17.6,21.8,0.279675
16.0,20.6,0.223061
16.2,21.1,0.235123
16.2,21.3,0.259298
20.0,21.3,0.355846
22.5,20.6,0.398639
23.0,20.0,0.430752
21.8,20.3,0.420812
22.8,20.1,0.450039
17.4,22.0,0.293029
20.0,22.3,0.354200
